Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD Ryzen 5 3580U;CPU;2019-10-22;120;150;2100;49400;21000;GF;AMD;;;
Intel Core i5-11500;CPU;2021-03-16;140;650;;;27000;Intel;Intel;;;
Intel Core i7-8706G;CPU;2018-02-01;140;650;;;31000;Intel;Intel;;;
Intel Core i7-4960HQ;CPU;2013-09-01;220;470;2640;14000;26000;Intel;Intel;;;
AMD Mobile Athlon 64 3000+;CPU;2004-08-01;1300;350;1930;1060;20000;Unknown;AMD;;;
Intel Pentium 4 1.5;CPU;2000-11-20;1800;580;2170;420;15000;Intel;Intel;;;
AMD Ryzen Embedded V1202B;CPU;2018-02-21;140;150;2100;49500;23000;GF;AMD;;;
Intel Core i7-870S;CPU;2010-07-19;450;820;2960;7740;26660;Intel;Intel;;;
Intel Xeon X5560;CPU;2009-03-30;450;950;2630;7310;28000;Intel;Intel;;;
Intel Pentium 4 2.0;CPU;2001-08-27;1800;720;2170;420;20000;Intel;Intel;;;
AMD Turion X2 Ultra ZM-80;CPU;2008-06-01;650;320;;;21000;Unknown;AMD;;;
AMD Athlon 64 X2 4600+;CPU;2006-05-23;900;890;2200;1540;24000;Unknown;AMD;;;
Intel Core 2 Extreme X6800;CPU;2006-07-27;650;750;1430;2910;29330;Intel;Intel;;;
AMD Opteron X2 170;CPU;2005-08-02;900;1100;;2330;20000;Unknown;AMD;;;
Intel Xeon 5040;CPU;2006-05-23;650;950;;;28300;Intel;Intel;;;
Intel Xeon Phi 7250;CPU;2016-06-20;140;2150;;80000;14000;Intel;Intel;;;
Intel Xeon Gold 6328HL;CPU;2021-04-06;140;1650;;;28000;Intel;Intel;;;
Intel Celeron D 330;CPU;2004-06-24;900;840;1090;1250;26670;Intel;Intel;;;
Intel Core M-5Y10;CPU;2014-09-05;140;50;500;;8000;Intel;Intel;;;
AMD Ryzen 5 4600GE;CPU;2020-07-21;70;350;;;33000;TSMC;AMD;;;
Intel Core i7-1185G7;CPU;2020-09-02;100;280;;;30000;Intel;Intel;;;
Intel Core i9-7900X;CPU;2017-06-26;140;1400;;;33000;Intel;Intel;;;
Intel Xeon 3.20;CPU;2004-02-01;1300;970;2370;2860;32000;Intel;Intel;;;
Intel Celeron 2950M;CPU;2013-09-01;220;370;1180;14000;20000;Intel;Intel;;;
Intel Core i9-10900;CPU;2020-04-30;140;650;;;28000;Intel;Intel;;;
Intel Core M-5Y71;CPU;2014-10-27;140;50;500;;12000;Intel;Intel;;;
Intel Xeon W-3175X;CPU;2018-12-19;140;2550;;80000;31000;Intel;Intel;;;
AMD Turion X2 Ultra ZM-85;CPU;2008-09-01;650;350;;;23000;Unknown;AMD;;;
AMD Ryzen 3 2200G;CPU;2018-02-12;140;650;2100;49500;35000;GF;AMD;;;
AMD Phenom II X4 945 (95W);CPU;2009-07-22;450;950;2580;7580;30000;Unknown;AMD;;;
AMD EPYC 7F52;CPU;2020-04-14;70;1550;740;38000;35000;TSMC;AMD;;;
Intel Mobile Pentium 4 HT 518;CPU;2004-06-01;900;880;1120;1250;28000;Intel;Intel;;;
Intel Core i7-1065G7;CPU;2019-08-01;100;250;;;13000;Intel;Intel;;;
AMD Athlon 64 2850e;CPU;2008-08-01;650;220;770;1220;18000;Unknown;AMD;;;
Intel Core i7-6700;CPU;2015-07-01;140;650;;;34000;Intel;Intel;;;
AMD Athlon 64 X2 4800+;CPU;2006-12-05;650;650;1260;1540;25000;Unknown;AMD;;;
Intel Xeon 5080;CPU;2006-05-23;650;1300;;;37300;Intel;Intel;;;
Intel Celeron G465;CPU;2012-09-01;320;350;1310;5040;19000;Intel;Intel;;;
Intel Core i5-2405S;CPU;2011-05-22;320;650;2160;11600;25000;Intel;Intel;;;
Intel Pentium III 1000S;CPU;2001-06-01;1300;300;800;440;10000;Intel;Intel;;;
Intel Pentium B960;CPU;2011-10-02;320;350;1310;5040;22000;Intel;Intel;;;
AMD Opteron 240;CPU;2004-05-18;1300;820;1930;1060;14000;Unknown;AMD;;;
AMD Athlon 64 X2 4200+ EE;CPU;2006-05-23;900;650;2200;1540;22000;Unknown;AMD;;;
AMD Phenom II X6 1075T;CPU;2010-09-21;450;1250;3460;9040;30000;Unknown;AMD;;;
